 num     #instances         #bytes  class name (module)
 140:          2729         152824  com.intellij.psi.impl.java.stubs.impl.PsiClassStubImpl
 141:          2113         152136  com.intellij.ui.DeferredIconImpl
 142:          3763         150520  javax.swing.text.GapContent$MarkData (java.desktop@11.0.9.1)
 143:          3749         149960  com.intellij.psi.impl.java.stubs.impl.PsiClassReferenceListStubImpl
 144:          6222         149328  com.intellij.util.containers.ConcurrentFactoryMap$2
 145:          2181         148272  [Ljava.lang.ref.SoftReference; (java.base@11.0.9.1)
 146:          1420         147680  com.intellij.codeInspection.LocalInspectionEP
 147:          3640         145600  com.intellij.ide.ui.ToolOptionDescription
 148:          1692         143616  [Z (java.base@11.0.9.1)
 149:          2520         141120  java.util.concurrent.ConcurrentHashMap$KeyIterator (java.base@11.0.9.1)
 150:          5876         141024  com.intellij.openapi.vfs.newvfs.impl.VfsData$DirectoryData
 151:          2936         140928  com.intellij.util.containers.ConcurrentSoftValueHashMap$MySoftReference
 152:          5827         139848  java.util.Collections$UnmodifiableRandomAccessList (java.base@11.0.9.1)
 153:          1449         139104  javax.swing.text.html.InlineView (java.desktop@11.0.9.1)
 154:          3475         139000  java.util.Collections$SingletonMap (java.base@11.0.9.1)
 155:          5751         138024  com.intellij.psi.impl.compiled.ClsMemberImpl$2
 156:          2125         136000  java.lang.ClassValue$ClassValueMap (java.base@11.0.9.1)
 157:          4237         135584  com.intellij.psi.impl.java.stubs.impl.PsiTypeParameterListStubImpl
 158:          3338         133520  com.intellij.psi.impl.source.tree.java.PsiIdentifierImpl
 159:          1276         132704  com.jetbrains.jdi.InterfaceTypeImpl
 160:          5525         132600  java.beans.PropertyChangeSupport (java.desktop@11.0.9.1)
 161:          5025         131992  [Ljavax.swing.text.AbstractDocument$AbstractElement; (java.desktop@11.0.9.1)
 162:          3298         131920  com.intellij.serviceContainer.ServiceComponentAdapter
 163:          5478         131472  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
 164:          2684         128832  com.intellij.ui.RowIcon
 165:          2634         126432  com.intellij.ui.scale.ScaleContext
 166:          2617         125616  com.intellij.psi.impl.compiled.ClsTypeElementImpl
 167:          5159         123816  com.intellij.codeInspection.bytecodeAnalysis.HMember
 168:          3087         123480  javax.swing.text.html.HTMLDocument$RunElement (java.desktop@11.0.9.1)
 169:          7622         121952  com.intellij.util.indexing.impl.MapIndexStorage$$Lambda$1376/0x0000000800fe8c40
 170:          3809         121888  java.awt.Insets (java.desktop@11.0.9.1)
 171:          5078         121872  com.intellij.util.containers.UnsignedShortArrayList
 172:          5077         121848  com.intellij.psi.stubs.MostlyUShortIntList
 173:          3780         120960  com.intellij.util.containers.LockFreeCopyOnWriteArrayList$COWIterator
 174:          1075         120400  javax.swing.text.html.BlockView (java.desktop@11.0.9.1)
 175:          5014         120336  java.util.Collections$SingletonList (java.base@11.0.9.1)
 176:           299         119600  javax.swing.JLabel (java.desktop@11.0.9.1)
 177:          2989         119560  com.intellij.psi.impl.compiled.ClsMethodImpl
 178:          1244         119424  sun.font.CFont (java.desktop@11.0.9.1)
 179:          4961         119064  java.awt.Dimension (java.desktop@11.0.9.1)
 180:          7380         118080  com.intellij.util.containers.LockFreeCopyOnWriteArrayList
 181:          3663         117216  java.util.Collections$SynchronizedMap (java.base@11.0.9.1)
 182:          4708         112992  com.intellij.psi.impl.compiled.ClsModifierListImpl
 183:           168         112896  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
 184:          2338         112224  com.intellij.psi.impl.java.stubs.impl.PsiParameterStubImpl
 185:          3485         111520  java.lang.Package (java.base@11.0.9.1)
 186:          1547         111384  com.intellij.codeInsight.completion.JavaPsiClassReferenceElement
 187:          3478         111296  com.intellij.util.containers.ConcurrentWeakValueHashMap$MyWeakReference
 188:          1714         109696  com.intellij.psi.impl.java.stubs.impl.PsiJavaFileStubImpl
 189:          1522         109584  com.intellij.psi.impl.source.PsiJavaCodeReferenceElementImpl
 190:          1695         108480  com.intellij.psi.impl.compiled.ClsFileImpl
 191:          3358         107456  com.intellij.openapi.vfs.newvfs.impl.VirtualFileImpl
 192:          3231         103392  java.util.Vector (java.base@11.0.9.1)
 193:          4279         102696  com.intellij.codeInspection.bytecodeAnalysis.DirectionResultPair
 194:          4260         102240  com.intellij.codeInspection.ex.LocalInspectionToolWrapper
 195:          1593         101952  com.intellij.util.concurrency.SchedulingWrapper$MyScheduledFutureTask
 196:          6357         101712  com.intellij.openapi.extensions.PluginId
 197:          4212         101088  com.intellij.ui.JBColor$$Lambda$684/0x0000000800812c40
 198:          4175         100200  javax.swing.text.html.StyleSheet$ViewAttributeSet (java.desktop@11.0.9.1)
 199:          3894          98544  [Ljavax.swing.text.View; (java.desktop@11.0.9.1)
 200:          1864          98264  [Lcom.intellij.psi.PsiMethod;
 201:          1743          97608  com.intellij.openapi.extensions.impl.InterfaceExtensionPoint
 202:          1106          97328  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function
 203:           268          96480  com.intellij.ui.components.panels.NonOpaquePanel
 204:          4005          96120  java.lang.StringBuilder (java.base@11.0.9.1)
 205:          1083          95304  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function
 206:          2368          94720  com.intellij.psi.impl.compiled.ClsClassImpl
 207:          3909          93816  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
 208:          5839          93424  java.util.concurrent.atomic.AtomicReference (java.base@11.0.9.1)
 209:          2335          93400  com.intellij.util.Alarm
 210:          5822          93152  java.lang.ref.ReferenceQueue$Lock (java.base@11.0.9.1)
 211:          1057          93016  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
 212:           916          91112  [S (java.base@11.0.9.1)
 213:          3772          90528  kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal
 214:          5627          90032  java.beans.PropertyChangeSupport$PropertyChangeListenerMap (java.desktop@11.0.9.1)
 215:          2767          88544  com.intellij.util.keyFMap.PairElementsFMap
 216:          3677          88248  com.intellij.util.keyFMap.ArrayBackedFMap
 217:          3641          87384  com.intellij.codeInspection.bytecodeAnalysis.Effects
 218:          3621          86904  com.intellij.openapi.util.ProperTextRange
 219:          2674          85568  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@11.0.9.1)
 220:          1257          84816  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.9.1)
 221:          3437          84688  [Ljava.beans.PropertyChangeListener; (java.desktop@11.0.9.1)
